Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
Mastercard/restapi,community,3.0.0,2026-02-27,,89,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,25.6M,14,0
ns1-terraform/ns1,partner,2.8.2,2026-02-18,,98,,,✅,,,,✅,,,16,0,6,0,0,0,0,0,22,,24.8M,71,0
spotinst/spotinst,partner,1.236.1,2026-05-21,,7,,,✅,,,,✅,,,39,0,0,0,0,0,0,0,39,,24.4M,282,9
aztfmod/azurecaf,partner,2.0.0-preview3,2022-11-30,,1275,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,24.2M,53,0
l-with/ldap,community,0.12.4,2026-03-17,,71,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,24.1M,50,0
elastic/ec,partner,0.13.0,2026-05-20,,7,,,✅,,,,✅,,,11,0,8,0,0,0,0,1,19,,23.1M,23,0
opensearch-project/opensearch,community,2.3.2,2025-06-25,,336,,,✅,,,,✅,,,21,0,1,0,0,0,0,0,22,,23.1M,10,0
cyrilgdn/rabbitmq,community,1.10.1,2025-09-05,,264,,,✅,,,,✅,,,11,0,0,0,0,0,0,0,11,,22.7M,8,0
jianyuan/sentry,community,0.15.0-beta3,2026-05-18,,10,,,,✅,,✅,,,,24,0,19,0,0,0,11,0,54,,20.8M,37,0
goharbor/harbor,community,3.11.6,2026-04-22,,36,,,✅,,,,✅,,,20,0,8,0,0,0,0,0,28,,20.5M,40,0
rollbar/rollbar,partner,1.17.0,2026-05-17,,10,,,✅,,,,✅,,,8,0,5,0,0,0,0,0,13,,20.2M,24,0
dynatrace-oss/dynatrace,partner,1.96.0,2026-05-06,,21,,,✅,,,,✅,,,431,0,57,0,0,0,0,3,488,,19.9M,183,56
phillbaker/elasticsearch,community,2.0.7,2022-12-07,,1268,,,✅,,,,✅,,,27,0,2,0,0,0,0,1,29,,19.6M,33,3
infobloxopen/infoblox,partner,2.13.0,2026-04-02,,56,,,✅,,,,✅,,,31,0,26,0,0,0,0,0,57,,19.5M,18,0
fastly/fastly,partner,9.2.0,2026-05-20,,7,,,✅,✅,,,,✅,,48,0,47,0,0,0,0,12,95,,19.0M,110,1
elastic-infra/ldap,community,2.0.1,2022-04-28,,1491,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,18.4M,2,0
groundcover-com/groundcover,partner,1.13.3,2026-05-26,,1,,,,✅,,✅,,,,16,0,0,0,0,0,0,0,16,,18.3M,46,0
hashicorp/hcp,official,0.111.0,2025-12-08,,170,,,,✅,,,,✅,,66,0,37,0,0,0,0,17,103,,18.1M,128,12
cloudposse/awsutils,community,0.20.1,2025-02-28,,453,,,✅,,,,✅,,,6,0,3,0,0,0,0,0,9,,18.1M,21,0
goauthentik/authentik,community,2026.2.0,2026-04-22,,36,,,✅,,,,✅,,,93,0,21,0,0,0,0,0,114,,18.0M,77,11
betr-io/mssql,community,0.3.1,2024-03-27,,791,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,17.6M,12,0
launchdarkly/launchdarkly,partner,3.0.0-beta.1,2026-05-22,,5,,,✅,,,,✅,,,27,0,20,0,0,0,0,1,47,,17.4M,83,0
philips-software/hsdp,community,1.2.2,2026-03-12,,77,,,✅,,,,✅,,,55,0,54,0,0,0,0,3,109,,17.0M,284,14
scottwinkler/shell,community,1.7.10,2021-11-16,,1653,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,16.8M,9,0
ovh/ovh,partner,2.13.1,2026-04-22,,36,,,✅,,,,✅,,,147,0,174,0,0,0,0,1,321,,16.8M,71,35
argoproj-labs/argocd,community,7.15.3,2026-04-02,,55,,,✅,,,,✅,,,10,0,1,0,0,0,0,0,11,,16.3M,83,0
aminueza/minio,community,3.37.0,2026-05-18,,9,,,✅,,,,✅,,,65,0,53,0,0,0,0,0,118,,16.1M,112,0
hashicorp/googleworkspace,community,0.7.0,2022-06-10,,1447,,,✅,,,,✅,,,13,0,14,0,0,0,0,1,27,,15.9M,10,0
splunk-terraform/signalfx,partner,10.0.0-beta6,2026-04-08,,50,,,✅,,,,✅,,,36,0,6,0,0,0,1,0,43,,15.3M,111,0
zitadel/zitadel,partner,2.12.8,2026-05-21,,7,,,,✅,,✅,,,,106,0,67,0,0,0,0,0,173,,15.3M,63,0
Telmate/proxmox,community,3.0.2-rc07,2025-12-16,,162,,,✅,,,,✅,,,5,0,0,0,0,0,0,4,5,,15.2M,46,0
sysdiglabs/sysdig,partner,3.8.1,2026-05-05,,22,,,✅,,,,✅,,,79,0,63,0,0,0,0,0,142,,15.2M,177,3
duplocloud/duplocloud,community,0.12.10,2026-05-04,,23,,,✅,,,,✅,,,153,0,75,0,0,0,0,0,228,,15.0M,236,0
linode/linode,partner,3.13.0,2026-05-15,,12,,,✅,✅,,,,✅,,43,0,95,0,0,0,0,1,138,,14.9M,127,0
aiven/aiven,partner,4.57.0,2026-05-19,,8,,,✅,,,,✅,,,85,0,75,0,0,0,0,15,160,,14.6M,160,0
hetznercloud/hcloud,partner,1.63.0,2026-05-12,,15,,,✅,,,,✅,,,29,0,42,0,0,4,2,1,77,,14.4M,77,0
OctopusDeployLabs/octopusdeploy,community,0.43.3,2026-01-08,,140,,,✅,,,,✅,,,75,0,40,0,0,0,0,10,115,,14.4M,178,7
e-breuninger/netbox,community,5.3.0,2026-04-09,,48,,,✅,,,,✅,,,82,0,48,0,0,0,0,0,130,,14.3M,118,9
spacelift-io/spacelift,community,1.49.0,2026-05-15,,13,,,✅,,,,✅,,,52,0,58,0,0,0,0,0,110,,14.2M,121,0
strongdm/sdm,partner,17.2.0,2026-04-29,,29,,,✅,,,,✅,,,26,0,28,0,0,0,0,6,54,,14.1M,213,0
buildkite/buildkite,partner,1.33.0,2026-05-13,,15,,,,✅,,✅,,,,21,0,16,0,0,0,0,2,37,,13.8M,105,0
tiwood/azresourcegraph,community,0.3.0,2024-08-06,,660,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,13.8M,4,0
lacework/lacework,partner,2.3.0,2026-03-18,,70,,,✅,,,,✅,,,57,0,3,0,0,0,0,0,60,,13.3M,102,16
vmware/vcd,partner,3.14.1,2024-12-05,,538,,,✅,,,,✅,,,123,0,141,0,0,0,0,13,264,,13.0M,22,0
cloudposse/template,community,2.2.0,2022-10-17,,1318,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,13.0M,1,0
nekottyo/jsonschema,community,0.1.1,2023-09-12,,989,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,12.9M,1,0
PGSSoft/mssql,community,0.6.0,2022-12-07,,1268,,,,✅,,✅,,,,14,0,18,0,0,0,0,0,32,,12.9M,8,0
scaleway/scaleway,partner-premier,2.75.0,2026-05-13,,15,,,✅,,,,✅,,,145,0,131,7,10,22,1,13,316,,12.6M,117,43
terraform-routeros/routeros,community,1.99.1,2026-03-08,,80,,,✅,,,,✅,,,254,0,16,0,0,0,0,3,270,,12.5M,200,0
Azure/modtm,partner,0.3.5,2025-03-03,,451,,,✅,,,,✅,,,1,0,1,0,0,0,2,0,4,,11.8M,7,0
digitalocean/digitalocean,partner,2.87.0,2026-05-18,,10,,,✅,✅,,,,✅,,66,0,59,0,0,0,0,0,125,,11.6M,114,14
bpg/proxmox,community,0.107.0,2026-05-24,,3,,,,✅,,✅,,,,114,0,90,0,0,0,0,10,204,,11.5M,182,2
PaloAltoNetworks/prismacloud,partner,1.7.2,2026-05-07,,21,,,✅,,,,✅,,,29,0,57,0,0,0,0,0,86,,11.4M,64,0
chilicat/pkcs12,community,0.4.0,2026-05-05,,22,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,11.2M,21,0
hashicorp/boundary,official,1.5.1,2026-02-03,,113,,,✅,✅,,,,✅,,38,0,6,0,0,0,0,0,44,,11.2M,37,0
akamai/akamai,partner,10.2.0,2026-05-13,,15,,,,✅,,✅,,,,1,0,1,0,0,0,0,1,2,,10.9M,74,0
logdna/logdna,community,1.17.2,2025-10-16,,223,,,✅,,,,✅,,,10,0,1,0,0,0,0,0,11,,10.6M,27,0
heroku/heroku,partner,5.3.2,2025-10-31,,209,,,✅,,,,✅,,,29,0,7,0,0,0,0,2,36,,10.4M,69,0
StatusCakeDev/statuscake,partner,2.2.2,2023-10-20,,950,,,✅,,,,✅,,,6,0,3,0,0,0,0,0,9,,10.3M,12,0
paultyng/sql,community,0.5.0,2022-10-22,,1313,,,✅,,,,✅,,,2,0,2,0,0,0,0,0,4,,10.0M,6,0
kbst/kustomization,community,0.9.7,2025-11-02,,207,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,9.9M,26,0
Twingate/twingate,community,4.2.0,2026-05-06,,21,,,✅,,,,✅,,,15,0,18,1,0,0,0,9,34,,9.6M,93,4
G-Core/gcorelabs,partner,0.3.63,2023-02-09,,1204,,,✅,,,,✅,,,35,0,28,0,0,0,0,0,63,,9.4M,128,0
Ferlab-Ste-Justine/opensearch,community,0.1.0,2022-09-24,,1342,,,✅,,,,✅,,,4,0,0,0,0,0,0,0,4,,9.4M,1,0
CiscoDevNet/aci,partner,2.19.0,2026-04-17,,40,,,✅,,,,✅,,,343,0,352,0,0,0,0,1,695,,9.3M,42,25
nats-io/jetstream,community,0.4.0,2026-05-07,,20,,,✅,,,,✅,,,4,0,0,0,0,0,0,2,4,,9.2M,17,0
chainguard-dev/cosign,partner,0.4.5,2026-05-25,,3,,,,✅,,✅,,,,3,0,1,0,0,0,0,0,4,,9.2M,44,0
jdamata/sonarqube,community,0.16.21,2026-04-02,,56,,,✅,,,,✅,,,31,0,21,0,0,0,0,0,52,,9.1M,50,0
pan-net/powerdns,community,1.5.0,2022-04-22,,1496,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,9.0M,7,0
SchwarzIT/stackit,community,1.34.10,2026-04-10,,48,,,,✅,,✅,,,,32,0,31,0,0,0,0,0,63,,8.9M,209,0
chainguard-dev/apko,partner,1.2.10,2026-05-25,,3,,,,✅,,✅,,,,2,0,2,0,0,0,1,0,5,,8.8M,94,0
labd/commercetools,community,1.22.0,2026-05-07,,21,,,✅,,,,✅,,,26,0,2,0,0,0,0,4,28,,8.8M,78,0
chainguard-dev/oci,partner,0.1.6,2026-05-14,,13,,,,✅,,✅,,,,3,0,2,0,0,0,2,0,7,,8.7M,32,0
chainguard-dev/chainguard,partner,0.2.10,2026-05-25,,3,,,,✅,,✅,,,,12,0,6,0,0,0,0,0,18,,8.7M,59,0
bwoznicki/assert,community,0.0.1,2021-02-24,,1918,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,8.6M,1,1
castai/castai,partner,8.38.0,2026-05-28,,0,,,✅,,,,✅,,,40,0,11,0,0,0,0,0,51,,8.5M,294,0
vmware/vra,partner,0.17.2,2026-05-14,,14,,,✅,,,,✅,,,40,0,49,0,0,0,0,0,89,,8.5M,46,0
stackitcloud/stackit,community,0.97.0,2026-05-28,,0,,,,✅,,✅,,,,92,0,92,1,0,0,0,13,185,,8.3M,144,0
jeremmfr/iptables,community,1.2.1,2022-05-23,,1466,,,✅,,,,✅,,,8,0,0,0,0,0,0,0,8,,8.3M,2,0
